type,shm_bufsize,arbiter_bufsize,primes_num,checked,errnum,errgen,time
forward,8,16,40000,130,15,4000,6.07
forward,8,16,40000,136,0,0,6.01
forward,8,16,40000,128,12,4000,6.01
forward,8,16,40000,152,0,0,6.02
forward,8,16,40000,121,15,4000,6.12
forward,8,16,40000,133,0,0,6.03
forward,8,16,40000,137,16,4000,6.03
forward,8,16,40000,120,2,0,6.07
forward,8,16,40000,136,19,4000,6.06
forward,8,16,40000,62,0,0,6.10
forward,8,16,40000,32,7,4000,6.17
forward,8,256,40000,332,0,0,6.07
forward,8,256,40000,142,17,4000,6.01
forward,8,256,40000,76,0,0,6.09
forward,8,256,40000,140,16,4000,6.01
forward,8,256,40000,233,0,0,6.01
forward,8,256,40000,145,17,4000,6.01
forward,8,256,40000,151,0,0,6.04
forward,8,256,40000,98,10,4000,6.11
forward,8,256,40000,196,0,0,6.01
forward,8,256,40000,141,17,4000,6.02
forward,8,256,40000,146,0,0,6.03
forward,8,256,40000,141,17,4000,6.03
forward,8,256,40000,143,0,0,6.11
forward,8,256,40000,141,16,4000,6.01
forward,8,256,40000,92,0,0,6.04
forward,8,256,40000,141,17,4000,6.01
forward,8,256,40000,108,0,0,6.06
forward,8,256,40000,147,18,4000,6.03
forward,8,256,40000,77,0,0,6.07
forward,8,256,40000,141,17,4000,6.05
forward,8,256,40000,30,0,0,6.17
forward,8,256,40000,142,17,4000,6.01
forward,8,32,40000,202,0,0,6.10
forward,8,32,40000,143,19,4000,6.01
forward,8,32,40000,335,0,0,6.01
forward,8,32,40000,143,18,4000,6.02
forward,8,32,40000,468,0,0,6.01
forward,8,32,40000,146,18,4000,6.06
forward,8,32,40000,147,1,0,6.05
forward,8,32,40000,146,18,4000,6.02
forward,8,32,40000,143,1,0,6.01
forward,8,32,40000,141,18,4000,6.01
forward,8,32,40000,250,0,0,6.02
forward,8,32,40000,140,17,4000,6.05
forward,8,32,40000,150,1,0,6.02
forward,8,32,40000,84,9,4000,6.05
forward,8,32,40000,144,1,0,6.01
forward,8,32,40000,146,16,4000,6.01
forward,8,32,40000,139,1,0,6.03
forward,8,32,40000,143,19,4000,6.02
forward,8,32,40000,36,2,0,6.09
forward,8,32,40000,142,18,4000,6.01
forward,8,32,40000,143,1,0,6.04
forward,8,32,40000,138,16,4000,6.02
forward,8,4,40000,137,0,0,6.03
forward,8,4,40000,116,13,4000,6.06
forward,8,4,40000,132,0,0,6.08
forward,8,4,40000,121,21,4000,6.03
forward,8,4,40000,89,0,0,6.05
forward,8,4,40000,62,4,4000,6.08
forward,8,4,40000,19,0,0,6.14
forward,8,4,40000,141,17,4000,6.01
forward,8,4,40000,368,0,0,6.01
forward,8,4,40000,77,9,4000,6.06
forward,8,4,40000,212,60,0,6.01
forward,8,4,40000,116,15,4000,6.02
forward,8,4,40000,138,0,0,6.01
forward,8,4,40000,139,15,4000,6.02
forward,8,4,40000,120,0,0,6.03
forward,8,4,40000,243,26,4000,6.04
forward,8,4,40000,108,0,0,6.02
forward,8,4,40000,140,16,4000,6.02
forward,8,4,40000,267,0,0,6.03
forward,8,4,40000,139,16,4000,6.01
forward,8,4,40000,36,0,0,6.10
forward,8,4,40000,135,14,4000,6.04
forward,8,512,40000,67,0,0,6.09
forward,8,512,40000,141,17,4000,6.07
forward,8,512,40000,137,0,0,6.04
forward,8,512,40000,142,17,4000,6.01
forward,8,512,40000,647,0,0,6.13
forward,8,512,40000,147,18,4000,6.03
forward,8,512,40000,193,0,0,6.09
forward,8,512,40000,141,17,4000,6.03
forward,8,512,40000,143,0,0,6.05
forward,8,512,40000,141,17,4000,6.04
forward,8,512,40000,141,0,0,6.08
forward,8,512,40000,141,17,4000,6.03
forward,8,512,40000,135,0,0,6.09
forward,8,512,40000,140,16,4000,6.02
forward,8,512,40000,141,0,0,6.02
forward,8,512,40000,140,16,4000,6.01
forward,8,512,40000,141,0,0,6.00
forward,8,512,40000,116,15,4000,6.10
forward,8,512,40000,141,0,0,6.04
forward,8,512,40000,145,18,4000,6.09
forward,8,512,40000,158,0,0,6.09
forward,8,512,40000,147,18,4000,6.07
forward,8,64,40000,144,0,0,6.04
forward,8,64,40000,142,16,4000,6.01
forward,8,64,40000,107,0,0,6.11
forward,8,64,40000,139,16,4000,6.01
forward,8,64,40000,140,0,0,6.08
forward,8,64,40000,117,11,4000,6.03
forward,8,64,40000,150,0,0,6.02
forward,8,64,40000,140,16,4000,6.01
forward,8,64,40000,102,0,0,6.03
forward,8,64,40000,122,16,4000,6.11
forward,8,64,40000,152,0,0,6.01
forward,8,64,40000,141,17,4000,6.01
forward,8,64,40000,276,3,0,6.02
forward,8,64,40000,141,18,4000,6.03
forward,8,64,40000,128,0,0,6.09
forward,8,64,40000,220,25,4000,6.02
forward,8,64,40000,115,0,0,6.04
forward,8,64,40000,140,17,4000,6.02
forward,8,64,40000,138,0,0,6.01
forward,8,64,40000,142,18,4000,6.01
forward,8,64,40000,137,0,0,6.05
